soil,hor,sand,silt,clay,R25,G25,B25,pH,EC,CaCO3,C,Ca,Mg,Na,depth
soil73,2,23.6,12.7,62.6,0.41,0.38,0.34,8.53,9.7,0.05,0.64,247.2,183.2,15.1,25
soil73,3,24.3,12.5,62.2,0.51,0.47,0.44,8.77,9.1,0.05,0.55,249.8,191,26.5,55
soil73,4,27.9,13,58,0.41,0.38,0.34,9.33,23.4,0.3,0.42,202.6,190,74,100
soil73,5,30.7,12.5,55.8,0.41,0.38,0.34,9.22,32.2,0.3,0.35,188.8,185.9,90,260
soil74,1,24.1,18.2,56.1,0.44,0.37,0.31,8.31,11.7,0.1,0.86,243.4,123.3,16.4,10
soil74,2,23.6,18.3,56.9,0.44,0.37,0.31,8.46,10.3,0.1,0.64,253,117,19.9,25
soil74,3,23.5,19.4,56,0.44,0.37,0.31,8.82,12.2,0.2,0.51,247.4,125,34.6,55
soil74,4,25.8,18.1,54.7,0.44,0.37,0.31,7.86,132,0.1,0.47,254.3,107.1,53.4,100
soil74,5,24.2,17.9,55.6,0.49,0.35,0.25,8.52,88.8,1.6,0.22,224.8,136.4,87.7,260
soil75,1,23.8,19.1,55.2,0.34,0.28,0.23,7.54,23,0.05,1.05,269.3,103.5,16.3,6
soil75,2,24,17.3,57.6,0.44,0.37,0.31,7.99,11.3,0.05,0.65,299.1,109.6,19.3,25
soil75,3,22.9,17.2,58.7,0.34,0.28,0.23,8.43,32.4,0.1,0.55,295.6,116.8,52.3,55
soil75,4,20.7,16.8,61.2,0.34,0.28,0.23,8.41,67,0.2,0.5,281.4,124.1,81.7,100
soil75,5,15.5,16.5,66,0.45,0.36,0.26,8.81,83.3,1.5,0.12,263.4,133.4,108.6,260
soil76,1,37.4,17.8,43.2,0.34,0.28,0.23,8.08,10.8,0.1,0.87,213.9,108,10.5,8
soil76,2,35.4,18.1,45.1,0.34,0.28,0.23,8.52,11.6,0.4,0.55,224.3,107.5,15.8,25
soil76,3,34.4,18,45.5,0.34,0.28,0.23,9.12,17.4,1.3,0.41,222.8,120.1,36.6,55
soil76,4,30.2,19.3,48.2,0.45,0.36,0.33,7.97,205,1,0.34,216.2,124.7,72.8,100
soil76,5,25.1,17.5,56.1,0.45,0.36,0.33,8.81,80,0.8,0.13,219.4,155.5,89.5,260
soil77,1,31.4,16.5,49.3,0.55,0.46,0.36,7.39,12.9,0.05,1.59,171.6,78.8,70.3,4
soil77,2,30.4,17.2,50.3,0.55,0.46,0.36,7.74,10.65,0.05,1.2,222.35,96.7,45.4,10
soil77,3,29.4,17.9,51.3,0.35,0.27,0.24,8.09,8.4,0.05,0.81,273.1,114.6,20.5,25
soil77,4,28.7,17.8,52.2,0.34,0.28,0.23,9,21.8,0.1,0.68,239.9,110,46.9,55
soil77,5,28,18.2,52.4,0.47,0.36,0.29,9.1,31.9,0.6,0.42,224.8,111.7,91.5,100
soil77,6,18.4,20,60.6,0.37,0.27,0.21,8.6,92.1,0.3,0.23,290.9,133.7,109.3,260
soil78,1,45.5,14.9,37.4,0.31,0.28,0.25,6.89,13.9,0.05,1.25,176,110.5,10.3,5
soil78,2,45.1,14.85,38.3,0.31,0.28,0.25,7.27,12.3,0.05,1.01,173.15,114.45,17.55,10
soil78,3,44.7,14.8,39.2,0.31,0.28,0.25,7.64,10.7,0.05,0.77,170.3,118.4,24.8,25
soil78,4,43.5,15.1,39.6,0.31,0.28,0.25,9.01,27.2,0.5,0.68,205,154.1,37.4,55
soil78,5,35.5,15.9,47.3,0.35,0.27,0.24,8.46,95.7,0.6,0.23,200.3,180.5,74.9,100
soil78,6,27,17,55.1,0.46,0.36,0.33,8.88,64.9,0.4,0.16,216.5,187.1,86.9,260
soil79,1,62.2,10.3,26.1,0.35,0.27,0.24,7.51,1.3,0.05,0.82,157.3,34.8,5.7,10
soil79,2,56.5,10.9,31.3,0.35,0.27,0.24,8.31,10.9,0.05,0.75,209,53.4,12.3,25
soil79,3,54.7,9.7,30.8,0.25,0.19,0.16,9.42,21.5,3.7,0.61,153.3,64.9,32.2,55
soil79,4,45.7,13.2,36.3,0.45,0.36,0.33,9.25,68.8,4,0.33,133.9,87.7,79.3,100
soil79,5,43,18,36,0.45,0.36,0.33,9.25,68.8,4,0.33,133.9,87.7,79.3,116
soil80,1,58.4,12.4,26.3,0.31,0.28,0.25,6.36,17.1,0.05,1.67,122.1,44.6,2.4,6
soil80,2,56.55,13.75,27.3,0.31,0.28,0.25,6.55,13.2,0.05,1.4,135,45.5,4,10
soil80,3,54.7,15.1,28.3,0.23,0.2,0.18,6.74,9.3,0.05,1.12,147.9,46.4,5.6,25
soil80,4,34.2,15.9,47.9,0.2,0.2,0.2,8.02,8.8,0.05,1.14,262.4,81.2,29.2,55
soil80,5,41.7,15,41.2,0.2,0.2,0.2,8.78,47.7,0.5,0.82,241.1,76,53.5,100
soil80,6,38,14.7,43.4,0.34,0.28,0.23,8.65,91.5,3,0.33,237,79.1,58.7,237
soil81,1,51.7,16.7,28.3,0.31,0.28,0.25,6.61,14.6,0.05,1.92,165.1,46.1,6,10
soil81,2,44.4,21.9,31.8,0.31,0.28,0.25,7.4,6,0.05,1.12,193.8,43,11.8,25
soil81,3,34.5,21.8,41.6,0.23,0.2,0.18,8.29,7.5,0.05,1.24,256,61.4,26.6,55
soil81,4,30.1,22.5,44.8,0.23,0.2,0.18,8.64,34.2,0.3,1.26,273.7,70.7,51.4,100
soil81,5,36.9,17.1,43.8,0.45,0.36,0.33,8.83,55.4,1.4,0.35,240,71.1,64.3,260
soil82,1,54.6,9.9,32.9,0.31,0.28,0.25,7.41,17.2,0.1,1.46,206.6,49.6,4.5,12
soil82,2,56,8,35,0.31,0.28,0.25,8.1,8.6,0.05,0.9,209,58,10.5,25
soil82,3,49,8.8,36.2,0.34,0.28,0.23,9.14,19,4.8,0.66,214.4,83.5,28.6,55
soil82,4,40.5,11.5,40.4,0.34,0.28,0.23,9.27,42.4,6.5,0.55,181,112.3,77.4,100
soil82,5,37.5,13.1,45.5,0.35,0.27,0.24,8.28,167.1,2.9,0.23,202.5,118.5,84.2,260
soil83,1,51.9,11.5,34.4,0.25,0.19,0.16,8.21,13.1,0.1,1.22,267.1,67.3,7.2,10
soil83,2,49.2,11.6,37.3,0.25,0.19,0.16,8.07,8,0.05,1.1,272.9,83.1,15.3,25
soil83,3,45.6,12.2,39.2,0.25,0.19,0.16,8.98,20.7,1.2,0.99,271.7,103.4,33.8,55
soil83,4,41.1,13.5,41.7,0.25,0.19,0.16,9.13,52.5,2.2,0.78,233,121.8,81.3,100
soil83,5,43.9,13.7,39.3,0.46,0.36,0.33,8.92,90.3,2.4,0.21,209.9,105.9,84.1,260
soil84,1,40.4,13.5,44,0.25,0.19,0.16,8,8.3,0.1,1.13,254.3,110.5,10.6,5
soil84,2,38,14.1,46.05,0.25,0.19,0.16,8.19,8.45,0.08,1.04,262.5,122.2,15.2,10
soil84,3,35.6,14.7,48.1,0.25,0.19,0.16,8.38,8.6,0.05,0.94,270.7,133.9,19.8,25
soil84,4,31.4,16.5,50.6,0.31,0.28,0.25,8.91,20,0.4,0.63,274.8,158.8,46.9,55
soil84,5,32.3,15.6,51.3,0.46,0.36,0.33,8.96,49.8,0.6,0.01,246.1,153.8,72.4,100
soil84,6,26.6,16.1,57,0.46,0.36,0.33,8.48,42.4,0.05,0.09,249.7,178,92.8,260
soil85,1,78.4,9.6,9.4,0.45,0.36,0.33,5.83,17.5,0.05,1.5,16.4,6.1,0.4,10
soil85,2,83.1,9.6,6.8,0.55,0.46,0.36,5.96,3.5,0.05,0.29,4.4,2.9,0.05,25
soil85,3,78.7,11.2,9.5,0.54,0.46,0.42,6.68,3.7,0.05,0.37,30.1,5.6,0.05,55
soil85,4,59.9,8,32,0.54,0.46,0.42,7.9,3,0.05,0.08,83.6,66,3.6,100
soil85,5,67.8,5.4,26.7,0.55,0.46,0.36,8.92,3.3,0.05,0.04,34.6,76.3,26.3,260
soil86,1,91,3,4.6,0.45,0.36,0.33,4.96,5.7,0.05,0.79,4.2,1.5,0.5,10
soil86,2,92.2,3.4,3.6,0.55,0.46,0.36,4.72,3.3,0.05,0.45,0.05,0.6,0.1,25
soil86,3,93.4,3.5,2.8,0.55,0.46,0.36,4.92,3,0.05,0.18,0.05,2,0.2,40
soil86,4,82.6,3.05,14.05,0.55,0.46,0.36,5.17,6.75,0.05,0.18,0.05,33.55,12.25,70
soil86,5,71.8,2.6,25.3,0.65,0.42,0.29,5.41,10.5,0.05,0.17,0.05,65.1,24.3,100
soil86,6,56.8,4.8,38.2,0.59,0.3,0.18,6.36,24.6,0.05,0.08,0.4,86.3,35.8,260
soil87,1,18.9,19.3,57.6,0.36,0.27,0.24,7.32,19.9,0.1,2.37,264.3,170,3.5,10
soil87,2,16.6,19.2,61,0.36,0.27,0.24,7.59,10.4,0.05,1.84,327.5,172.6,3.7,25
soil87,3,19.5,20.4,57.6,0.36,0.27,0.24,8.11,5.5,0.05,1.45,324,202.8,4.5,70
soil88,1,23.7,14.6,55.9,0.36,0.27,0.24,7.49,17.5,0.05,3.39,436.5,215.6,1.1,10
soil88,2,31.1,16.3,48.9,0.37,0.27,0.21,7.84,9.9,0.05,2.16,432.7,261.2,2.3,25
soil88,3,38.6,15.9,42.6,0.4,0.26,0.19,8.08,11.1,0.2,1.56,431.4,275.2,3.3,55
soil88,4,6,14,43,0.6,0.57,0.53,8.81,12.9,36.3,0.31,225.3,274,3.2,80
soil89,1,30.8,13.3,53,0.31,0.28,0.25,7.89,30.7,0.7,1.21,234,132.7,12.5,5
soil89,2,31.55,12.9,53.35,0.31,0.28,0.25,8.43,23.95,0.6,0.89,238.7,140.2,17.25,10
soil89,3,32.3,12.5,53.7,0.31,0.28,0.25,8.96,17.2,0.5,0.57,243.4,147.7,22,25
soil89,4,28.4,12.1,57.6,0.31,0.28,0.25,9.2,24.7,1,0.49,215.3,171,46.9,55
soil89,5,20.1,13.5,64,0.31,0.28,0.25,9.28,39.2,1.4,0.48,183.8,192,82.7,100
soil89,6,17.1,15,65,0.31,0.28,0.25,9.34,49.5,2.1,0.36,178.1,193.9,90.9,260
soil90,1,22.1,14.7,61.9,0.34,0.28,0.23,8.37,12.3,0.05,0.75,254,161.2,12.5,10
soil90,2,18.4,16,64.3,0.34,0.28,0.23,8.61,9.2,0.1,0.69,245.9,166,14.4,25
soil90,3,20.6,14.7,63.5,0.41,0.38,0.34,8.92,15.8,0.3,0.49,228.6,172.4,22.6,55
soil90,4,19.3,15.4,64.1,0.41,0.38,0.34,9.11,28.3,0.3,0.44,208.3,174.9,57.3,100
soil90,5,17.6,15,66.2,0.55,0.46,0.36,8.99,37.5,0.5,0.35,199,175.7,69.3,260
soil91,1,17,12.9,68.9,0.41,0.38,0.34,8.19,14.4,0.05,0.7,260.7,216.7,18.9,10
soil91,2,17.1,11.8,69.8,0.31,0.28,0.25,8.4,11.1,0.05,0.73,252.1,209.5,27,25
soil91,3,18,12.1,68.9,0.31,0.28,0.25,8.75,18.1,0.05,0.53,257.4,207.7,56.7,55
soil91,4,11.3,15.3,72.3,0.31,0.28,0.25,8.76,44.9,0.1,0.47,227.5,218.6,94.9,100
soil91,5,10.2,14.6,73.7,0.31,0.28,0.25,8.66,91,0.5,0.37,217,220.9,101.5,260
soil92,1,25,14.2,58.8,0.45,0.36,0.33,7.78,20.3,0.05,1.12,279.2,139.4,19.9,10
soil92,2,24.9,15.7,57.9,0.35,0.27,0.24,8.57,15.8,0.2,0.72,273,130.6,29.6,25
soil92,3,23.8,15,59.5,0.35,0.27,0.24,9.16,22.4,0.7,0.56,274.6,138.2,57.5,55
soil92,4,21,16.5,59.8,0.35,0.27,0.24,7.9,291,0.9,0.41,266.5,134.7,83.7,100
soil92,5,15.7,16.7,65.8,0.6,0.44,0.35,8.34,166.5,0.9,0.14,248.2,163.2,98.4,260
soil94,1,41.3,16.7,40,0.31,0.28,0.25,7.49,10.8,0.1,1.08,205.8,70.1,12.8,10
soil94,2,37,18.1,43.7,0.31,0.28,0.25,8.79,10.5,0.3,0.5,251.2,74.8,18.9,25
soil94,3,35.6,19.8,42.9,0.31,0.28,0.25,9.02,17.7,0.9,0.45,239.1,71.9,33.1,55
soil94,4,25.6,20.7,52.5,0.31,0.28,0.25,8.94,39.3,1.1,0.01,240.9,91.6,67.5,100
soil94,5,26,15.4,57.9,0.47,0.36,0.29,8.97,46.8,0.4,0.1,243.9,97.6,71,260
soil95,1,40.4,18.2,39.8,0.31,0.28,0.25,6.34,17.1,0.05,0.92,166.8,63.9,8.7,8
soil95,2,32,20.6,45.2,0.31,0.28,0.25,7.94,8.7,0.7,0.85,240.7,78.9,26.1,25
soil95,3,29.6,19,49.5,0.31,0.28,0.25,9.05,25.9,1.1,0.4,262.3,80.3,52.3,55
soil95,4,28.1,18.3,52.2,0.35,0.27,0.24,8.8,62.5,0.9,0.17,250.7,97.9,70.5,100
soil95,5,32.9,17.7,45,0.39,0.26,0.18,8.81,71.2,3.9,0.12,262.7,98.4,77.9,260
soil96,1,53.1,14.4,29.9,0.31,0.28,0.25,7.91,20.3,0.3,1.29,140.4,29.2,4.1,10
soil96,2,40.3,16.7,39.4,0.31,0.28,0.25,8.68,17.1,2.2,0.81,188.5,60.1,15.1,25
soil96,3,30.6,18.9,46.5,0.31,0.28,0.25,9.09,24.4,2.8,0.64,209.3,109.3,37.6,55
soil96,4,29.5,18.3,50.3,0.41,0.38,0.34,8.97,61,0.7,0.6,187.7,134.6,80.2,100
soil96,5,28.1,19,52,0.55,0.46,0.42,5.06,114.3,0.05,0.27,145.9,67.4,71.4,260
soil97,1,45.4,19.9,32.7,0.31,0.28,0.25,7.35,9.8,0.05,1.14,166.6,44.6,5.1,6
soil97,2,45.2,20.3,33.3,0.31,0.28,0.25,7.77,5.4,0.05,0.67,172.9,44.8,11.8,25
soil97,3,37.6,19.5,41.6,0.23,0.2,0.18,8.74,12.3,0.1,0.66,260.5,71.8,27.2,55
soil97,4,25.7,22.7,49.9,0.23,0.2,0.18,8.61,52.9,0.3,0.69,257.2,117.5,78.3,100
soil97,5,27.6,20.1,51.2,0.54,0.46,0.42,5.91,220,0.05,0.14,209.2,89.3,84.1,260
soil98,1,21.3,12.4,64,0.31,0.28,0.25,8.57,15.3,0.6,0.96,257.9,51.1,10.9,10
soil98,2,20.2,12.6,63.4,0.31,0.28,0.25,8.92,14.8,2.6,0.67,253,66,13.5,25
soil98,3,26,15,55.8,0.31,0.28,0.25,9.13,21.5,2.2,0.55,255.3,100.4,28,55
soil98,4,32.8,19,45.3,0.31,0.28,0.25,9.17,37.1,1.9,0.5,246.9,113.4,62.6,100
soil98,5,27.5,16.8,53.7,0.54,0.46,0.42,8.32,129.9,1.3,0.14,236.7,129.6,71.2,260
soil99,1,50.1,13.9,33,0.31,0.28,0.25,6.73,14.1,0.05,1.76,178.2,55.6,10.1,10
soil99,2,43.1,14.4,40.5,0.23,0.2,0.18,7.94,9.7,0.05,1.16,254.7,67.7,25.5,25
soil99,3,37,14.8,43.8,0.23,0.2,0.18,9.08,41.1,2.3,1.14,308.9,83.8,66.8,55
soil99,4,36.4,16.6,42.8,0.31,0.28,0.25,8.89,82.8,2.9,0.56,247.3,73,76.1,100
soil99,5,38.8,16.1,44.1,0.44,0.37,0.31,8.84,80.5,0.4,0.17,233.9,70.3,80.1,260
soil100,1,79.8,4.4,14.2,0.35,0.27,0.19,6.29,11.6,0.05,0.92,28.3,13.8,0.05,10
soil100,2,75.7,4.3,19,0.35,0.27,0.19,6.88,3.9,0.05,0.59,46.8,17.9,0.05,25
soil100,3,79.6,4.4,15.5,0.58,0.45,0.33,7.27,2.4,0.05,0.31,39.9,13.6,0.05,55
soil100,4,64.2,4.8,30.6,0.58,0.45,0.33,7.8,3.2,0.05,0.22,78.8,34.2,0.2,100
soil100,5,52.1,3.1,44.3,0.69,0.55,0.43,8.33,11.8,0.2,0.16,102.8,100.2,1.7,260
soil101,1,41.5,8.9,44.3,0.25,0.19,0.16,7.93,21.3,0.6,2.74,364.5,50,2,10
soil101,2,44,9,41.8,0.25,0.19,0.16,7.95,13,0.1,2.96,357.8,47.5,2,25
soil101,3,42.9,9.5,44.8,0.25,0.19,0.16,8.21,9.8,0.1,1.59,396.8,53.5,2.6,55
soil101,4,39.5,10.3,46.9,0.31,0.28,0.25,8.66,16.3,0.9,1.36,387.8,92.9,16.8,100
soil101,5,37.6,11.1,47.7,0.58,0.45,0.33,8.76,33.9,1.9,0.9,340.1,110.8,38,254
soil102,1,79.2,6.1,10.8,0.35,0.27,0.24,5.55,24.2,0.05,2.22,0.05,5.6,0.6,10
soil102,2,82.4,5,10.6,0.35,0.27,0.24,4.6,6.9,0.05,1.16,0.05,4.5,0.4,20
soil102,3,76.8,5.5,16.2,0.6,0.44,0.37,5.13,7.75,0.05,0.87,0.05,29.55,9.05,34
soil102,4,71.2,6,21.8,0.6,0.44,0.37,5.66,8.6,0.05,0.58,0.05,54.6,17.7,55
soil102,5,1,61.6,6.9,0.17,0.12,0.07,6.91,6.4,40,0.05,0.05,0.05,6.6,100
soil102,6,81.9,9.5,8.6,0.49,0.35,0.25,8.16,4.7,0.05,0.01,0.05,29.5,9.2,130
soil103,1,26.7,26.1,44.7,0.35,0.27,0.24,7.23,6.5,0.05,1.44,196.3,111,2.7,10
soil103,2,23.2,27,47.8,0.35,0.27,0.24,7.37,6.2,0.05,1.19,206.5,124.4,4.6,25
soil103,3,20.8,25.9,51.2,0.35,0.27,0.24,7.89,6.1,0.05,1.2,227.9,154.1,9.7,55
soil103,4,20.6,26,50.4,0.31,0.28,0.25,8.51,20,1.1,1.1,233.9,166.7,15,100
soil103,5,31.2,23,43.6,0.35,0.27,0.24,8.73,16.6,1,0.69,220.2,155.3,14.8,260
soil104,1,79.6,4.2,12.7,0.26,0.19,0.17,5.64,1.8,0.05,2.04,3.2,1.7,0.4,10
soil104,2,76.2,4.5,15.2,0.36,0.27,0.24,5.35,2.2,0.05,2.41,3.3,3.1,0.3,25
soil104,3,79.5,4.4,14,0.45,0.36,0.33,5.41,1.9,0.05,1.22,0.05,4.5,0.6,55
soil104,5,43.5,5,50.9,0.54,0.46,0.42,6.04,16.3,0.05,0.32,1.8,106.3,17.1,100
soil104,6,87,2.8,10.1,0.45,0.36,0.26,6.53,6.8,0.05,0.03,1.7,32.4,6.1,130
soil105,1,77.5,3.9,13.2,0.31,0.28,0.25,6.47,7,0.05,3.15,36.4,13,1.2,10
soil105,2,79.5,3.7,13.6,0.31,0.28,0.25,5.8,3.6,0.05,1.87,16.8,6,0.2,25
soil105,3,77.5,4.3,17.3,0.53,0.34,0.18,5.64,2.4,0.05,0.55,11.5,6.4,0.7,40
soil105,4,60.85,4.25,34.2,0.53,0.34,0.18,5.79,3.15,0.05,0.41,11.25,37.4,7.55,70
soil105,5,44.2,4.2,51.1,0.73,0.54,0.34,5.93,3.9,0.05,0.27,11,68.4,14.4,100
soil105,6,63.1,5.4,31.3,0.65,0.56,0.45,6.15,6,0.05,0.1,10.9,65.6,16.3,260
soil106,1,15.1,22.1,57.9,0.35,0.27,0.19,8.13,17.3,1.5,1.96,257.4,66,3.4,10
soil106,2,15,22.5,56.9,0.35,0.27,0.24,8.45,15.4,3.5,1.23,278,82.6,4.6,25
soil106,3,13.5,23.7,56.6,0.35,0.27,0.24,8.57,16.2,4.4,1.01,250.7,110.3,9.5,55
soil106,4,12.1,24.7,57,0.36,0.27,0.24,8.72,25,4.9,0.69,204.9,145.5,23,100
soil106,5,12.1,28.1,57,0.36,0.27,0.24,8.6,43.7,1.9,0.46,209.7,151.6,31.7,260
soil107,1,20.5,19.5,58,0.34,0.28,0.23,8.54,13.9,0.1,1.1,212.4,148.4,17.7,12
soil107,2,18.8,19.5,60.1,0.35,0.27,0.24,8.94,13.2,0.4,0.66,246.1,166.3,20.2,25
soil107,3,19.4,19.5,58.9,0.35,0.27,0.24,9.04,19.5,1.2,0.55,196.1,175,31.5,55
soil107,4,17.7,21.5,59,0.34,0.28,0.23,9.19,26.5,0.9,0.47,179.6,178.1,53.6,100
soil107,5,17.7,26.2,55,0.37,0.27,0.16,9.21,28.2,0.6,0.24,126.6,173.1,55.4,260
soil108,1,21.2,17.7,59.5,0.35,0.27,0.24,8.47,15.2,0.1,0.84,238.6,172.3,8,12
soil108,2,22.9,16.6,59.1,0.35,0.27,0.24,8.74,12.1,0.1,0.74,252.6,173.1,13,25
soil108,3,21.1,17.6,59.7,0.35,0.27,0.24,9.1,16.4,0.5,0.6,255.4,191.8,28.5,55
soil108,4,18.6,18.6,61,0.35,0.27,0.24,9.3,34.3,1,0.42,176.5,187.3,62.8,100
soil108,5,14.2,18.2,66.1,0.49,0.35,0.25,9.31,54.6,1,0.18,172.7,207.2,86.4,260
soil109,1,14.7,17.2,66.9,0.44,0.37,0.31,8.6,17,0.1,0.63,298.2,162.5,23.8,9
soil109,2,13.8,17.1,68,0.44,0.37,0.31,8.6,17.1,0.05,0.63,302.6,161.7,24.2,25
soil109,3,13.2,16.8,68.8,0.44,0.37,0.31,8.83,18.6,0.2,0.55,301.6,167.9,35,55
soil109,4,13.9,16.5,67.8,0.34,0.28,0.23,9.15,26.6,0.9,0.47,249.7,178.6,65.4,100
soil109,5,11.2,16.5,70.5,0.46,0.36,0.27,9.02,45.9,1,0.36,237.5,187.9,87.4,260
soil110,1,17.2,18.6,62.8,0.35,0.27,0.24,8.19,20,0.1,0.7,239.7,151.4,17.7,10
soil110,2,18.4,18.2,62.1,0.35,0.27,0.24,8.22,16,0.1,0.66,220.3,140.7,19.1,25
soil110,3,16.7,19.4,62.8,0.45,0.36,0.33,8.57,12.8,0.05,0.61,247.9,136.9,29.5,55
soil110,4,19.9,19.2,60,0.45,0.36,0.33,8.68,17.6,0.05,0.51,227,139.4,51.6,100
soil110,5,18.2,19,61.9,0.49,0.35,0.25,8.62,35,0.2,0.35,212.4,146.4,68.6,260
soil111,1,25.5,21.3,51.6,0.44,0.37,0.31,7.94,10.4,0.05,0.9,228.6,89.8,13.5,10
soil111,2,21.7,22.2,55,0.45,0.36,0.33,8.64,10.1,0.05,0.64,245,105.1,22.3,25
soil111,3,21.4,23.5,53.8,0.45,0.36,0.33,9.04,14.2,0.3,0.58,234.1,111.4,42.5,55
soil111,4,15.9,24,58.7,0.45,0.36,0.33,8.8,57.9,0.5,0.39,225.8,119.2,82.6,100
soil111,5,15.1,21.3,62.6,0.45,0.36,0.33,8.54,65.2,0.4,0.21,229.9,126.2,81.9,260
soil112,1,49.9,16.5,31.1,0.31,0.28,0.25,6.34,11,0.05,1.46,89.7,57.2,8.3,10
soil112,2,33.5,22.5,42.6,0.41,0.38,0.34,7.56,7.4,0.05,0.82,153.5,86.9,17.7,25
soil112,3,35.1,22.3,41.1,0.31,0.28,0.25,8.93,20,0.3,0.69,169.4,87.4,36.3,55
soil112,4,28.3,20.1,50.8,0.45,0.36,0.33,8.67,47,0.3,0.19,215,106.2,66.3,100
soil112,5,20.3,20.5,57.6,0.45,0.36,0.33,8.82,70.7,1.2,0.1,242.9,111.5,73.6,260
soil113,1,38.2,19.4,39,0.31,0.28,0.25,6.92,17.5,0.05,1.99,178.9,101.4,7.5,6
soil113,2,39.1,20,38.9,0.34,0.28,0.23,7.34,9.9,0.05,1.14,163.1,95,15,25
soil113,3,27.9,24.5,45.7,0.34,0.28,0.23,9.07,21.9,0.5,0.77,167.9,99.8,37.7,55
soil113,4,27.8,22.5,46.6,0.35,0.27,0.19,7.73,340,1.1,0.45,164.8,128.9,55.8,100
soil113,5,43.4,16.2,39.7,0.39,0.26,0.18,8.72,46,0.1,0.24,171.1,126.5,69.1,260
soil114,1,27.9,22.1,46.9,0.31,0.28,0.25,6.6,44.2,0.05,1.74,163.8,93.8,11.7,10
soil114,2,25.2,22.2,50.9,0.31,0.28,0.25,7.35,18.6,0.05,0.94,221.8,114,15.2,25
soil114,3,24.6,23.5,50.6,0.31,0.28,0.25,8.23,13,0.05,0.74,234.9,119.4,18.7,55
soil114,4,0,24.1,54.7,0.31,0.28,0.25,8.79,20.8,0.1,0.55,245.8,138.6,37.3,100
soil114,5,22.1,24.1,52.8,0.46,0.36,0.33,8.75,29.2,0.4,0.28,224.9,137.4,37.8,260
soil115,1,40.3,16.4,40.7,0.31,0.28,0.25,7.03,10,0.05,1.49,149.9,97.5,6.3,12
soil115,2,32.9,15.8,49.5,0.31,0.28,0.25,7.37,8.1,0.05,1.07,193.9,132.6,12.7,25
soil115,3,27.9,16.6,53.9,0.34,0.28,0.23,8.27,10.6,0.05,0.94,199.9,155.6,22.6,55
soil115,4,25.9,22.9,45.6,0.35,0.27,0.19,8.79,25.1,4.9,0.37,152.5,145.2,24.4,100
soil115,5,32.9,23.4,41.2,0.49,0.35,0.25,9.11,20.5,2.1,0.18,144.9,137.3,25.8,260
soil116,1,50.4,15.2,32.3,0.35,0.27,0.24,8.02,13.3,0.2,1.11,159.2,56.6,8.6,10
soil116,2,46.7,13.4,38.3,0.35,0.27,0.24,8.63,11.6,0.05,0.92,167.9,94.3,18.4,25
soil116,3,44.7,13.2,34.8,0.35,0.27,0.24,9.28,26.2,5.9,0.78,150.7,104.9,40.4,55
soil116,4,40.6,17,34.2,0.36,0.27,0.24,9.38,60.6,7.1,0.5,97.4,116.3,78.5,100
soil116,5,37.3,18.2,39.9,0.35,0.27,0.24,8.7,154.2,3.3,0.4,121.2,136.6,89.3,279
soil117,1,65.2,11.7,20.6,0.34,0.28,0.23,6.23,14.2,0.05,1.45,47.7,33.1,0.4,10
soil117,2,70.4,10.9,17.4,0.51,0.47,0.44,6.49,4.9,0.05,0.77,55.4,29.1,2.1,15
soil117,3,62.75,11.05,25,0.51,0.47,0.44,7.46,6.75,0.05,0.69,105.95,65.95,10.2,30
soil117,4,55.1,11.2,32.6,0.41,0.38,0.34,8.42,8.6,0.05,0.61,156.5,102.8,18.3,55
soil117,5,51.3,10.2,36.4,0.51,0.47,0.44,8.83,48.1,1.4,0.3,156.3,132,30.7,100
soil117,6,61.4,8.8,29.1,0.54,0.46,0.42,8.97,44.2,0.3,0.16,93.1,108.5,28.6,261
soil118,1,82,6.2,9.7,0.34,0.28,0.23,7.02,8.2,0.05,1.21,34.7,13.2,0.5,10
soil118,2,81.3,5.9,11.6,0.55,0.46,0.36,6.73,16.8,0.05,0.68,40.5,11,0.4,20
soil118,3,73.05,6,20,0.55,0.46,0.36,7.42,10.8,0.08,0.5,65,25.8,1.15,30
soil118,4,64.8,6.1,28.4,0.44,0.37,0.31,8.1,4.8,0.1,0.32,89.5,40.6,1.9,55
soil118,5,56.5,4.8,38.3,0.44,0.37,0.31,9.26,8.5,0.1,0.15,73.5,102,18.5,100
soil118,6,62.2,5.1,30.9,0.54,0.46,0.42,9.84,34,1.5,0.08,34.6,96.9,39.8,273
soil119,1,66.5,10,18.7,0.45,0.36,0.33,6.21,18.2,0.05,2.81,56.2,40.3,5.7,10
soil119,2,67.3,10.1,19.9,0.35,0.27,0.24,6.56,9.4,0.2,1.44,36,45.5,12.4,25
soil119,3,64.3,9.1,25.1,0.45,0.36,0.26,6.71,17,0.05,0.82,37.4,68.5,27.7,55
soil119,4,59.5,8.3,31.2,0.6,0.44,0.35,9.12,66.8,0.4,0.23,55.3,144.1,66.8,100
soil119,5,64.1,9.4,24.6,0.69,0.55,0.43,9.58,56.9,1.4,0.14,39.4,107.8,54,290
soil120,1,86.2,3.7,8.4,0.44,0.37,0.31,4.86,6.9,0.05,0.98,0.05,1.1,0.05,10
soil120,2,85.6,4.3,9.5,0.58,0.45,0.33,4.91,2.8,0.05,0.34,0.05,0.05,0.05,25
soil120,3,84.9,4.5,10.2,0.69,0.55,0.43,5.66,1,0.05,0.23,0.05,4.8,0.3,55
