pantone,hex
black-7-u,#6c6864
yellow-u,#ffe800
yellow-012-u,#ffe000
orange-021-u,#ff6c2f
warm-red-u,#ff665e
red-032-u,#f65058
rubine-red-u,#db487e
rhodamine-red-u,#e44c9a
purple-u,#bf53b6
violet-u,#7758b3
blue-072-u,#3f43ad
reflex-blue-u,#39499c
process-blue-u,#0083c3
green-u,#00ac8c
black-u,#615d59
yellow-0131-u,#fbf59b
red-0331-u,#ffb1be
magenta-0521-u,#f8aadd
violet-0631-u,#ba93df
blue-0821-u,#6cd1ef
green-0921-u,#78e6d0
black-0961-u,#9d9994
801-u,#009ccd
802-u,#3bd23d
803-u,#ffe916
804-u,#ffaa52
805-u,#ff7477
806-u,#ff48b0
807-u,#e838bf
871-u,#ad986e
872-u,#ac936e
873-u,#ae906f
874-u,#ae8f6f
875-u,#b18b74
876-u,#b08770
877-u,#b4b7b9
medium-yellow-u,#ffe100
bright-orange-u,#ff7133
bright-red-u,#fe5442
strong-red-u,#d23b6a
pink-u,#d1428d
medium-purple-u,#65428a
dark-blue-u,#444795
medium-blue-u,#0087c7
bright-green-u,#00ae8f
neutral-black-u,#4c4845
