Pedon,hzID,top,bottom,thickness,name,hue,value,chroma,sand,silt,clay,pH,C,N,BD,Sr87_Sr86,Al_ppm,Ca_ppm,Fe_ppm,K_ppm,Mg_ppm,Na_ppm,Ti_ppm,Zr_ppm,epsilon_Ti,tau_ca,tau_Na,tau_K,tau_Al,tau_Fe,tau_Mg,tau_P,tau_C
FU2,106,5,16,11,Bw1,10YR,4,4,0.449072165,0.226804124,0.324123711,5.55,8.06,0.25,1.391,,30840,1402,25640,6447,8010,326.4,3781,7.9,0.384,-0.03,-0.02,0,-0.04,-0.04,-0.04,-0.06,7.3
FU2,107,16,27,11,Bw2,10YR,4,6,0.448,0.263157895,0.288842105,4.36,1.82,0.27,1.433,,44170,873.4,35140,7059,10110,288.8,4168,8.6,0.219,-0.08,-0.05,0,-0.01,-0.01,-0.03,-0.02,1.38
FU2,108,27,46,19,BC,10YR,4,6,0.475846501,0.259593679,0.264559819,4.85,1.16,0.07,1.424,,44970,1563,34070,7449,10930,286,3919,12.6,0.304,-0.03,-0.07,0.04,0.01,-0.01,-0.02,-0.04,1.53
FU2,109,46,74,28,C1,10YR,4,2,0.5028,0.25,0.2472,4.67,0.29,0.02,1.524,,43930,1753,36020,9110,11350,460.6,4316,12.9,0.107,-0.04,0.02,0.1,-0.03,-0.03,-0.04,-0.02,0.22
FU2,110,74,80,25,C2,10YR,3,3,0.747474747,0.083636364,0.168888889,4.68,0.19,0.02,1.63,,49650,2056,39910,7471,13270,449.8,4466,14.8,,,,,,,,,
FU3,111,0,5,5,A,10YR,2,2,0.278017241,0.355603448,0.36637931,4.83,17.73,0.8,0.738,,43760,4997,26010,5634,9316,445.1,2822,12.4,1.025,0.09,0,-0.02,0.03,-0.01,0,0.22,3.19
FU3,112,5,13,8,EB,10YR,5,4,0.408606557,0.297131148,0.294262295,4.44,2.69,0.94,1.249,,53300,2359,35440,7031,10270,459.2,4186,14.7,-0.193,-0.03,-0.03,-0.04,0.02,-0.02,-0.03,0.12,0.42
FU3,113,13,41,28,Bw,10YR,5,6,0.502857143,0.224489796,0.272653061,4.61,0.78,0.25,1.481,,26460,1208,22480,6491,8057,318.3,2612,8.8,0.09,-0.14,-0.07,-0.04,-0.02,-0.07,-0.03,0,0.49
FU3,114,41,74,33,BC,10YR,4,6,0.830097087,0.06407767,0.105825243,4.91,0.39,0.02,1.61,,34280,1281,31190,6931,10060,242.2,3009,31.8,-0.129,-0.19,-0.21,-0.08,0.03,0,0,-0.08,0
FU3,115,74,90,16,C,10YR,4,4,0.771149144,0.073349633,0.155501222,4.85,0.34,0.01,1.615,,28190,1927,27330,7273,8732,388.1,2611,8.8,,,,,,,,,
